county,precinct,office,district,party,candidate,votetype,votes
Allegheny,Bethel Park Ward 3 Dist 3,US President,NA,LIB,Chase Oliver,total,8
Allegheny,Bethel Park Ward 3 Dist 3,US President,NA,WRI,Write-in,total,2
Allegheny,Bethel Park Ward 4 Dist 1,US President,NA,DEM,Kamala D. Harris,total,540
Allegheny,Bethel Park Ward 4 Dist 1,US President,NA,REP,Donald J. Trump,total,616
Allegheny,Bethel Park Ward 4 Dist 1,US President,NA,GRN,Jill Stein,total,1
Allegheny,Bethel Park Ward 4 Dist 1,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Bethel Park Ward 4 Dist 1,US President,NA,WRI,Write-in,total,5
Allegheny,Bethel Park Ward 4 Dist 2,US President,NA,DEM,Kamala D. Harris,total,361
Allegheny,Bethel Park Ward 4 Dist 2,US President,NA,REP,Donald J. Trump,total,309
Allegheny,Bethel Park Ward 4 Dist 2,US President,NA,GRN,Jill Stein,total,5
Allegheny,Bethel Park Ward 4 Dist 2,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Bethel Park Ward 4 Dist 2,US President,NA,WRI,Write-in,total,3
Allegheny,Bethel Park Ward 4 Dist 3,US President,NA,DEM,Kamala D. Harris,total,362
Allegheny,Bethel Park Ward 4 Dist 3,US President,NA,REP,Donald J. Trump,total,354
Allegheny,Bethel Park Ward 4 Dist 3,US President,NA,GRN,Jill Stein,total,6
Allegheny,Bethel Park Ward 4 Dist 3,US President,NA,LIB,Chase Oliver,total,1
Allegheny,Bethel Park Ward 4 Dist 3,US President,NA,WRI,Write-in,total,2
Allegheny,Bethel Park Ward 5 Dist 1,US President,NA,DEM,Kamala D. Harris,total,240
Allegheny,Bethel Park Ward 5 Dist 1,US President,NA,REP,Donald J. Trump,total,338
Allegheny,Bethel Park Ward 5 Dist 1,US President,NA,GRN,Jill Stein,total,3
Allegheny,Bethel Park Ward 5 Dist 1,US President,NA,LIB,Chase Oliver,total,5
Allegheny,Bethel Park Ward 5 Dist 1,US President,NA,WRI,Write-in,total,3
Allegheny,Bethel Park Ward 5 Dist 2,US President,NA,DEM,Kamala D. Harris,total,267
Allegheny,Bethel Park Ward 5 Dist 2,US President,NA,REP,Donald J. Trump,total,262
Allegheny,Bethel Park Ward 5 Dist 2,US President,NA,GRN,Jill Stein,total,3
Allegheny,Bethel Park Ward 5 Dist 2,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Bethel Park Ward 5 Dist 2,US President,NA,WRI,Write-in,total,2
Allegheny,Bethel Park Ward 5 Dist 3,US President,NA,DEM,Kamala D. Harris,total,691
Allegheny,Bethel Park Ward 5 Dist 3,US President,NA,REP,Donald J. Trump,total,482
Allegheny,Bethel Park Ward 5 Dist 3,US President,NA,GRN,Jill Stein,total,4
Allegheny,Bethel Park Ward 5 Dist 3,US President,NA,LIB,Chase Oliver,total,7
Allegheny,Bethel Park Ward 5 Dist 3,US President,NA,WRI,Write-in,total,4
Allegheny,Bethel Park Ward 6 Dist 1,US President,NA,DEM,Kamala D. Harris,total,490
Allegheny,Bethel Park Ward 6 Dist 1,US President,NA,REP,Donald J. Trump,total,603
Allegheny,Bethel Park Ward 6 Dist 1,US President,NA,GRN,Jill Stein,total,2
Allegheny,Bethel Park Ward 6 Dist 1,US President,NA,LIB,Chase Oliver,total,4
Allegheny,Bethel Park Ward 6 Dist 1,US President,NA,WRI,Write-in,total,1
Allegheny,Bethel Park Ward 6 Dist 2,US President,NA,DEM,Kamala D. Harris,total,432
Allegheny,Bethel Park Ward 6 Dist 2,US President,NA,REP,Donald J. Trump,total,374
